Timestamp,RMS,Natural_Freq,Freq_Shift,Damage_Index,Status,Mode
2025-10-02 19:43:50.526,0.021839,6.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:51.277,0.021462,6.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:51.818,0.020970,6.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:52.292,0.021343,6.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:52.766,0.021498,5.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:53.255,0.021071,5.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:53.720,0.020615,5.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:54.192,0.020709,5.000,0.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:54.662,0.021186,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:55.129,0.021254,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:55.600,0.020782,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:56.085,0.020641,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:56.562,0.020779,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:57.038,0.021393,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:57.611,0.021005,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:58.115,0.020730,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:58.580,0.020623,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:59.442,0.020980,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:43:59.918,0.021196,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:00.518,0.020724,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:01.046,0.020710,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:01.534,0.020754,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:02.023,0.021519,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:02.489,0.021748,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:02.969,0.021477,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:03.494,0.021567,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:04.011,0.021689,11.000,5.500,100.00,DAMAGED,ANALYSIS
2025-10-02 19:44:04.553,0.022742,11.000,5.500,100.00,DAMAGED,ANALYSIS
